sit on the fence|保持中立态度
magnitude|变化程度
extent|变化程度
make waves|搞事情
close to home|扎心
carry the can for someone|为某人背黑锅
keep one's finger on the pulse|紧跟最新动态
That's the spirit|这才对嘛
no dice|没门儿
on the dot|准时
go Dutch|AA制
burn the midnight oil|熬夜
hit the books|好好学习
pull up one's socks|加油
at the eleventh hour|最后关头
move heaven and earth|竭尽全力
answer the call of nature|解手
throw in the towel|认输
bite the bullet|硬着头皮对付
on top of the world|高兴至极
play one's ace|使出绝招
be wise after the event|事后诸葛亮
as fresh as a daisy|精神饱满
let your hair down|放松
a bad hair day|倒霉的一天
as easy as a pie|小菜一碟
play someone like a ukulele|玩弄于股掌
Let's call it a day|收工
hold all the cards|处于优势
wet blanket|扫兴之人
haste makes waste|欲速则不达
jump the gun|过早行动
build castles in the air|白日做梦
in deep water|水深火热
on the same page|达成一致
on pins and needles|如坐针毡
keep up with the Joneses|攀比
jump ship|跳槽
hands are tied|无能为力
fall by the wayside|半途而废
back to square one|从头再来
up in the air|悬而未决
as pleased as punch|心花怒放
fly off the handle|大发雷霆
written in the stars|命中注定
spill the beans|泄露秘密
rock the boat|惹麻烦
I'll take a rain check|我想还是改天再约吧
drop the ball|掉链子
Take your time|慢慢来
Break a leg|祝你成功
Keep your chin up|别灰心
I'm all ears|洗耳恭听
have butterflies in stomach|七上八下
as scarce as hen's teeth|罕见
kill two birds with one stone|一箭双雕
night owl|夜猫子
as cool as a cucumber|泰然自若
clock in|打卡
keep one's shirt on|保持冷静
in the pink|身体健康
green hand|新手
out of the blue|出人意料
red-letter day|值得纪念的日子
It's all Greek to me|这对我来说太难了
have the time of one's life|过得很愉快
kill time|消磨时间
be on someone's radar|引起某人注意
boil down to|归根于
have one's head in the clouds|胡思乱想
knock on wood|祈求好运
off the hook|脱身
on the blink|出问题
Keep it under your hat|你要保密
Put a sock in it|别出声
by the book|按规矩
run circles around someone|比某人出色得多
light a fire under someone|鼓励某人
twenty four seven|时时刻刻
Beats me|我不明白
the sky is the limit|天高任鸟飞
Practice makes perfect|熟能生巧
No pains，no gains|一分耕耘，一分收获
A friend in need is a friend indeed|患难见真情
A fall in a pit，a gain in your wit|吃一堑，长一智
A leopard cannot change its spots|积习难改
go against the grain|违背常理
walk on eggshells|如履薄冰
go up in smoke|化为乌有
salt of the earth|精英人士
carry the ball|承担责任
jump through hoops|克服困难
chew the fat|闲聊
take something with a grain of salt|将信将疑
win hands down|轻松获胜
break one's neck|拼尽全力
teething troubles|初期困难
up to one's neck|忙得不可开交
give someone the cold shoulder|故意冷落某人
cool one's heels|久等
read one's lips|听仔细了
be wet behind the ears|缺乏经验
pick one's brains|请教某人
be like|表达某人的反应
take guts|需要勇气
so much for|放弃某件事
nailed it|圆满完成
give sb. a hard time|为难某人
might be...but...|委婉否定
can't agree anymore|赞成
just do sth. already|赶快做某事
strangely enough|真巧
give sb. some pointers|给建议
it's decent|挺好的
is it just me or|询问对方是否持同样意见
by any chance|询问某种可能
the last thing I want is|最不想做的事
in season|当季的
before you know it|事情过得飞快
get into|对某事感兴趣
on fire|状态很好
relate to|理解、共鸣
report to|汇报
you bet|赞成
way past|远远超出
that's nuts|疯了
that's insane|疯了
it sucks|糟糕
what's someone's story|询问不太熟的人的信息
walk in on sb./sth.|尴尬的走进某处打扰了某人某事
there's not much to it|很容易
suit yourself|你自己决定
out of|不在状态
there's a fine line between|两者之间非常相似
off the top of my head|即兴说出
by all means|请务必
cut it out|请求别人停止某件令你不适的事
screw up|搞砸某事
at a point|在某个特定时刻
get over it|忘掉烦心事
wound up|最终成为什么样子
work the night shift|上晚班
a take on sth.|对某事的见解
go easy on me|手下留情
ease into it|慢慢来
head off to|出发去某地
for the record|郑重说明
just because...dosen't mean...|虽然...但不代表...
split with|与...分享
let it slide|放过某人的错误
click|一拍即合
prensentable|衣着得体
scale back|减少
beat sb. to it|比某人抢先一步做了某事
stood sb. up|放某人鸽子
zone out|放空思想
without further ado|废话少说进入正题
haven't seen the last of sth.|某事消失了但还会卷土重来
it will come to sb.|忘了什么的时候
go out of one's way|费尽心思做某事
hear sb. out|听某人说完
just a heads up|给某人提个醒
what's done is done|木已成舟
put sb. up|给某人提供临时住所
take sb. up on sth.|接受某人的邀请或建议
keep my options open|尚未决定
you might want to|礼貌提出建议
catch up with|了解近况
to put it another way|换言之
it's on me|我来付账
act up|疾病发作或机器出毛病
it dosen't hurt to|做某事百利而无一害
be worn up|筋疲力尽

